threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.8,33,32,1,0.0303,54,31,23,0.4259,4,3,1,3578,2500,1078,1103
0.82,33,29,4,0.1212,54,24,30,0.5556,4,3,1,3578,2236,1342,1377
0.84,33,29,4,0.1212,54,23,31,0.5741,4,3,1,3578,1944,1634,1670
0.86,33,28,5,0.1515,54,17,37,0.6852,4,2,2,3578,1673,1905,1949
0.88,33,26,7,0.2121,54,11,43,0.7963,4,2,2,3578,1404,2174,2226
0.9,33,23,10,0.303,54,6,48,0.8889,4,2,2,3578,1045,2533,2593
0.92,33,17,16,0.4848,54,3,51,0.9444,4,2,2,3578,725,2853,2922
0.94,33,14,19,0.5758,54,2,52,0.963,4,2,2,3578,454,3124,3197
