threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.8,49,42,7,0.1429,0,0,0,0.0,12,12,0,2080,1206,874,881
0.82,49,37,12,0.2449,0,0,0,0.0,12,12,0,2080,1081,999,1011
0.84,49,28,21,0.4286,0,0,0,0.0,12,10,2,2080,970,1110,1133
0.86,49,25,24,0.4898,0,0,0,0.0,12,5,7,2080,861,1219,1250
0.88,49,18,31,0.6327,0,0,0,0.0,12,4,8,2080,729,1351,1390
0.9,49,16,33,0.6735,0,0,0,0.0,12,3,9,2080,598,1482,1524
0.92,49,9,40,0.8163,0,0,0,0.0,12,3,9,2080,437,1643,1692
0.94,49,6,43,0.8776,0,0,0,0.0,12,3,9,2080,295,1785,1837
