threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,33,32,1,0.0303,54,49,5,0.0926,4,4,0,3578,3194,384,390
0.78,33,32,1,0.0303,54,47,7,0.1296,4,4,0,3578,3041,537,545
0.8,33,32,1,0.0303,54,42,12,0.2222,4,4,0,3578,2852,726,739
0.82,33,31,2,0.0606,54,38,16,0.2963,4,4,0,3578,2618,960,978
0.84,33,30,3,0.0909,54,34,20,0.3704,4,3,1,3578,2351,1227,1251
0.86,33,29,4,0.1212,54,24,30,0.5556,4,3,1,3578,2089,1489,1524
0.88,33,28,5,0.1515,54,19,35,0.6481,4,3,1,3578,1770,1808,1849
0.9,33,26,7,0.2121,54,8,46,0.8519,4,3,1,3578,1281,2297,2351
0.92,33,23,10,0.303,54,4,50,0.9259,4,2,2,3578,841,2737,2799
0.94,33,20,13,0.3939,54,2,52,0.963,4,2,2,3578,480,3098,3165
