threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1770,310,310
0.78,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1627,453,453
0.8,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1519,561,561
0.82,49,47,2,0.0408,0,0,0,0.0,12,12,0,2080,1371,709,711
0.84,49,43,6,0.1224,0,0,0,0.0,12,12,0,2080,1221,859,865
0.86,49,42,7,0.1429,0,0,0,0.0,12,12,0,2080,1066,1014,1021
0.88,49,34,15,0.3061,0,0,0,0.0,12,11,1,2080,843,1237,1253
0.9,49,26,23,0.4694,0,0,0,0.0,12,9,3,2080,666,1414,1440
0.92,49,16,33,0.6735,0,0,0,0.0,12,7,5,2080,466,1614,1652
0.94,49,7,42,0.8571,0,0,0,0.0,12,7,5,2080,311,1769,1816
