threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,33,33,0,0.0,54,52,2,0.037,4,4,0,3578,3289,289,291
0.78,33,32,1,0.0303,54,51,3,0.0556,4,4,0,3578,3178,400,404
0.8,33,32,1,0.0303,54,48,6,0.1111,4,4,0,3578,3024,554,561
0.82,33,31,2,0.0606,54,44,10,0.1852,4,4,0,3578,2842,736,748
0.84,33,31,2,0.0606,54,41,13,0.2407,4,4,0,3578,2605,973,988
0.86,33,30,3,0.0909,54,34,20,0.3704,4,4,0,3578,2325,1253,1276
0.88,33,29,4,0.1212,54,28,26,0.4815,4,3,1,3578,2003,1575,1606
0.9,33,26,7,0.2121,54,18,36,0.6667,4,3,1,3578,1576,2002,2046
0.92,33,25,8,0.2424,54,5,49,0.9074,4,3,1,3578,1115,2463,2521
0.94,33,21,12,0.3636,54,3,51,0.9444,4,3,1,3578,636,2942,3006
