threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,33,33,0,0.0,54,51,3,0.0556,4,4,0,3578,3241,337,340
0.78,33,32,1,0.0303,54,49,5,0.0926,4,4,0,3578,3115,463,469
0.8,33,32,1,0.0303,54,45,9,0.1667,4,4,0,3578,2951,627,637
0.82,33,31,2,0.0606,54,41,13,0.2407,4,4,0,3578,2745,833,848
0.84,33,31,2,0.0606,54,36,18,0.3333,4,4,0,3578,2476,1102,1122
0.86,33,29,4,0.1212,54,29,25,0.463,4,3,1,3578,2199,1379,1409
0.88,33,29,4,0.1212,54,24,30,0.5556,4,3,1,3578,1895,1683,1718
0.9,33,26,7,0.2121,54,13,41,0.7593,4,3,1,3578,1440,2138,2187
0.92,33,24,9,0.2727,54,4,50,0.9259,4,3,1,3578,952,2626,2686
0.94,33,21,12,0.3636,54,2,52,0.963,4,2,2,3578,531,3047,3113
