threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1574,506,506
0.78,49,48,1,0.0204,0,0,0,0.0,12,12,0,2080,1448,632,633
0.8,49,45,4,0.0816,0,0,0,0.0,12,12,0,2080,1332,748,752
0.82,49,42,7,0.1429,0,0,0,0.0,12,12,0,2080,1176,904,911
0.84,49,37,12,0.2449,0,0,0,0.0,12,12,0,2080,1037,1043,1055
0.86,49,32,17,0.3469,0,0,0,0.0,12,10,2,2080,897,1183,1202
0.88,49,22,27,0.551,0,0,0,0.0,12,8,4,2080,746,1334,1365
0.9,49,16,33,0.6735,0,0,0,0.0,12,4,8,2080,617,1463,1504
0.92,49,10,39,0.7959,0,0,0,0.0,12,3,9,2080,440,1640,1688
0.94,49,6,43,0.8776,0,0,0,0.0,12,3,9,2080,297,1783,1835
