threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,33,32,1,0.0303,54,47,7,0.1296,4,4,0,3578,3121,457,465
0.78,33,32,1,0.0303,54,43,11,0.2037,4,4,0,3578,2959,619,631
0.8,33,32,1,0.0303,54,39,15,0.2778,4,4,0,3578,2741,837,853
0.82,33,31,2,0.0606,54,34,20,0.3704,4,3,1,3578,2495,1083,1106
0.84,33,29,4,0.1212,54,27,27,0.5,4,3,1,3578,2228,1350,1382
0.86,33,29,4,0.1212,54,21,33,0.6111,4,3,1,3578,1967,1611,1649
0.88,33,28,5,0.1515,54,17,37,0.6852,4,3,1,3578,1596,1982,2025
0.9,33,25,8,0.2424,54,7,47,0.8704,4,2,2,3578,1161,2417,2474
0.92,33,22,11,0.3333,54,3,51,0.9444,4,2,2,3578,780,2798,2862
0.94,33,15,18,0.5455,54,2,52,0.963,4,2,2,3578,464,3114,3186
